predict_time,predict_issue,predict_sim_test_code,last_real_issue,last_real_sim_test_code
2025-06-28 12:49:52,2025168,567,2025167,137
2025-06-28 05:07:19,2025169,989,2025168,879
2025-06-29 03:56:20,2025170,422,2025169,422
2025-06-29 16:34:11,2025171,556,2025170,965
2025-06-30 03:54:03,2025171,955,2025170,965
2025-07-01 03:59:23,2025172,993,2025171,983
2025-07-02 03:50:18,2025173,300,2025172,360
2025-07-03 03:52:52,2025174,755,2025173,759
2025-07-04 03:49:31,2025175,881,2025174,881
2025-07-05 03:44:26,2025176,040,2025175,240
2025-07-07 03:54:40,2025178,698,2025177,698
2025-07-08 03:50:10,2025179,903,2025178,309
2025-07-09 03:53:09,2025180,821,2025179,823
2025-07-10 03:52:49,2025181,657,2025180,657
2025-07-11 03:58:11,2025182,505,2025181,530
2025-07-12 03:53:50,2025183,111,2025182,151
